元商品名,KEGG_薬名,KEGG_ﾘﾝｸ,KEGG_URL,会社名,薬効,リスク区分(2026/7/2_KEGG)
☆ｱﾈﾄﾝせき止め錠,アネトンせき止め錠,アネトンせき止め錠,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1701000129,アリナミン製薬（株）,鎮咳去痰薬,2*
☆ﾊﾟﾌﾞﾛﾝｺﾞｰﾙﾄﾞA錠,パブロンゴールドA〈錠〉,パブロンゴールドA〈錠〉,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=K1506000007,大正製薬（株）,かぜ薬（内用）,2*
☆ﾊﾟｲﾛﾝPL錠 24錠,パイロンPL錠,パイロンPL錠,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1901000057,シオノギヘルスケア（株）,かぜ薬（内用）,2*
☆ﾊﾟｲﾛﾝPL錠ｺﾞｰﾙﾄﾞ 18錠,パイロンPL錠 ゴールド,パイロンPL錠 ゴールド,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J2001000122,シオノギヘルスケア（株）,かぜ薬（内用）,2*
☆ﾊﾟｲﾛﾝPL錠Pro,パイロンPL錠Pro,パイロンPL錠Pro,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J2301000135,シオノギヘルスケア（株）,かぜ薬（内用）,2*
☆ﾊﾟｲﾛﾝPL顆粒12包,パイロンPL顆粒,パイロンPL顆粒,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1701000179,シオノギヘルスケア（株）,かぜ薬（内用）,2*
☆ﾊﾟｲﾛﾝPL顆粒Pro,パイロンPL顆粒Pro,パイロンPL顆粒Pro,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J2101000085,シオノギヘルスケア（株）,かぜ薬（内用）,2*
☆ﾍﾞﾝｻﾞﾌﾞﾛｯｸIPｶﾌﾟﾚｯﾄ18錠,ベンザブロックIP,ベンザブロックIP,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J0601000660,アリナミン製薬（株）,かぜ薬（内用）,2*
☆ﾍﾞﾝｻﾞﾌﾞﾛｯｸIPﾌﾟﾚﾐｱﾑ 12錠,ベンザブロックIPプレミアム,ベンザブロックIPプレミアム,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J2001000124,アリナミン製薬（株）,かぜ薬（内用）,2*
☆ﾍﾞﾝｻﾞﾌﾞﾛｯｸIP錠３０錠,ベンザブロックIP錠,ベンザブロックIP錠,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J0601000662,アリナミン製薬（株）,かぜ薬（内用）,2*
☆ﾍﾞﾝｻﾞﾌﾞﾛｯｸL18ｶﾌﾟﾚｯﾄ,ベンザブロックL,ベンザブロックL,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J0601012886,アリナミン製薬（株）,かぜ薬（内用）,2*
☆ﾍﾞﾝｻﾞﾌﾞﾛｯｸLﾌﾟﾚﾐｱﾑDX 24錠,ベンザブロックLプレミアムDX,ベンザブロックLプレミアムDX,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J2501000105,アリナミン製薬（株）,かぜ薬（内用）,2*
☆ﾍﾞﾝｻﾞﾌﾞﾛｯｸSﾌﾟﾚﾐｱﾑDX,ベンザブロックSプレミアムDX,ベンザブロックSプレミアムDX,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J2501000107,アリナミン製薬（株）,かぜ薬（内用）,2*
☆ﾒｼﾞｺﾝせき止め錠Pro 20錠,メジコンせき止め錠Pro,メジコンせき止め錠Pro,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J2101000084,シオノギヘルスケア（株）,鎮咳去痰薬,2
☆ﾛｷｿﾆﾝ総合かぜ薬 12錠,ロキソニン総合かぜ薬,ロキソニン総合かぜ薬,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J2301000196,第一三共ヘルスケア（株）,かぜ薬（内用）,要指導
