指定濫用防止区分,指定濫用防止容量,JAN,商品名,正規化商品名,正規化包装数量,正規表現キー,正規化処理
対象,大容量,4987910710044,☆ｱﾈﾄﾝせき止め錠48錠,アネトンせき止め錠,48錠,アネトンせき止め錠|48錠,商品名正規化＋末尾包装数量分離
対象,大容量,4987306045125,☆ﾊﾟﾌﾞﾛﾝｺﾞｰﾙﾄﾞA錠130錠,パブロンゴールドA錠,130錠,パブロンゴールドA錠|130錠,商品名正規化＋末尾包装数量分離
対象,小容量,4987904100097,☆ﾊﾟｲﾛﾝPL顆粒12包,パイロンPL顆粒,12包,パイロンPL顆粒|12包,商品名正規化＋末尾包装数量分離
対象,小容量,4987904100998,☆ﾊﾟｲﾛﾝPL顆粒Pro,パイロンPL顆粒Pro,,パイロンPL顆粒Pro,商品名正規化・包装数量未検出
対象,小容量,4987904100479,☆ﾊﾟｲﾛﾝPL錠 24錠,パイロンPL錠,24錠,パイロンPL錠|24錠,商品名正規化＋末尾包装数量分離
対象,小容量,4987904101315,☆ﾊﾟｲﾛﾝPL錠Pro,パイロンPL錠Pro,,パイロンPL錠Pro,商品名正規化・包装数量未検出
対象,小容量,4987904100790,☆ﾊﾟｲﾛﾝPL錠ｺﾞｰﾙﾄﾞ 18錠,パイロンPL錠ゴールド,18錠,パイロンPL錠ゴールド|18錠,商品名正規化＋末尾包装数量分離
対象,小容量,49675047,☆ﾍﾞﾝｻﾞﾌﾞﾛｯｸIP錠３０錠,ベンザブロックIP錠,30錠,ベンザブロックIP錠|30錠,商品名正規化＋末尾包装数量分離
対象,小容量,4987123145732,☆ﾍﾞﾝｻﾞﾌﾞﾛｯｸIPｶﾌﾟﾚｯﾄ18錠,ベンザブロックIPカプレット,18錠,ベンザブロックIPカプレット|18錠,商品名正規化＋末尾包装数量分離
対象,小容量,4987123700856,☆ﾍﾞﾝｻﾞﾌﾞﾛｯｸIPﾌﾟﾗｽ18P,ベンザブロックIPプラス,18P,ベンザブロックIPプラス|18P,商品名正規化＋末尾包装数量分離
対象,小容量,4987123700771,☆ﾍﾞﾝｻﾞﾌﾞﾛｯｸLﾌﾟﾗｽ18P,ベンザブロックLプラス,18P,ベンザブロックLプラス|18P,商品名正規化＋末尾包装数量分離
対象,小容量,4987910003283,☆ﾍﾞﾝｻﾞﾌﾞﾛｯｸSﾌﾟﾚﾐｱﾑDX12錠,ベンザブロックSプレミアムDX,12錠,ベンザブロックSプレミアムDX|12錠,商品名正規化＋末尾包装数量分離
対象,小容量,4987910003375,☆ﾍﾞﾝｻﾞﾌﾞﾛｯｸLﾌﾟﾚﾐｱﾑDX 24錠,ベンザブロックLプレミアムDX,24錠,ベンザブロックLプレミアムDX|24錠,商品名正規化＋末尾包装数量分離
対象,小容量,4987910710747,☆ﾍﾞﾝｻﾞﾌﾞﾛｯｸIPﾌﾟﾚﾐｱﾑ 12錠,ベンザブロックIPプレミアム,12錠,ベンザブロックIPプレミアム|12錠,商品名正規化＋末尾包装数量分離
対象,小容量,4987904100974,☆ﾒｼﾞｺﾝせき止め錠Pro 20錠,メジコンせき止め錠Pro,20錠,メジコンせき止め錠Pro|20錠,商品名正規化＋末尾包装数量分離
対象,小容量,4987107673695,☆ﾛｷｿﾆﾝ総合かぜ薬 12錠,ロキソニン総合かぜ薬,12錠,ロキソニン総合かぜ薬|12錠,商品名正規化＋末尾包装数量分離
対象,小容量,4987107673701,☆ﾛｷｿﾆﾝ総合かぜ薬 24錠,ロキソニン総合かぜ薬,24錠,ロキソニン総合かぜ薬|24錠,商品名正規化＋末尾包装数量分離
対象外,-,4987107673794,☆AG ｱﾚﾙｶｯﾄ ic,,,,対象外・処理しない
対象外,-,4987107673787,☆AGｱﾚﾙｶｯﾄis,,,,対象外・処理しない
対象外,-,4987241101580,☆ﾛｰﾄ抗菌目薬EX 10ｍL,,,,対象外・処理しない
対象外,-,4987316004051,☆ｱﾗｾﾅS,,,,対象外・処理しない
対象外,-,4987559828704,☆ｱﾙﾌﾞｽﾃｨｯｸｽ 100枚,,,,対象外・処理しない
対象外,-,4987188166031,☆ｱﾚｸﾞﾗFX 14錠,,,,対象外・処理しない
対象外,-,4987188166048,☆ｱﾚｸﾞﾗFX 28錠,,,,対象外・処理しない
対象外,-,4987107673732,☆ｴｰｼﾞｰｱﾚﾙｶｯﾄS 15mL,,,,対象外・処理しない
対象外,-,4987107615664,☆ｴｰｼﾞｰﾉｰｽﾞ ｱﾚﾙｶｯﾄC,,,,対象外・処理しない
対象外,-,4987167005191,"☆ｴﾗｽﾄﾝ No,125 10枚",,,,対象外・処理しない
対象外,-,4987067254200,☆ｴﾙﾍﾟｲﾝｺｰﾜ 12錠,,,,対象外・処理しない
対象外,-,4987774263113,☆ｵｲﾗｯｸｽA 10g,,,,対象外・処理しない
対象外,-,4987128257829,☆ｵｷﾅｿﾞｰﾙL100,,,,対象外・処理しない
対象外,-,4987469597035,☆ｵﾙﾃｸｻｰ口腔用軟膏,,,,対象外・処理しない
対象外,-,4987301069164,☆葛根湯ｴｷｽ錠S「ｺﾀﾛｰ」,,,,対象外・処理しない
対象外,-,4987009141551,☆ｶｲﾍﾞｰﾙ 48錠,,,,対象外・処理しない
対象外,-,4987107634122,☆ｶﾛﾅｰﾙA,,,,対象外・処理しない
対象外,-,4987107600042,☆ｶﾞｽﾀｰ10 12錠,,,,対象外・処理しない
対象外,-,4987107600004,☆ｶﾞｽﾀｰ10 S錠 6錠,,,,対象外・処理しない
対象外,-,4987107600035,☆ｶﾞｽﾀｰ10 錠 6錠,,,,対象外・処理しない
対象外,-,4987306048393,☆ｸﾗﾘﾁﾝEX 14錠,,,,対象外・処理しない
対象外,-,4987072078969,☆ｸﾞﾙｺｻﾐﾝｺﾝﾄﾞﾛｲﾁﾝﾋｱﾙﾛﾝ酸240粒,,,,対象外・処理しない
対象外,-,4987028105671,☆ｻｸﾛﾝQ,,,,対象外・処理しない
対象外,-,4987443323360,☆ｻﾞｼﾞﾃﾝAL点眼薬,,,,対象外・処理しない
対象外,-,4987350243737,☆新ｳﾘｴｰｽBT,,,,対象外・処理しない
対象外,-,4987246602341,☆新ｺﾝﾀｯｸ鼻炎Z,,,,対象外・処理しない
対象外,-,4987028114918,☆新ｾﾙﾍﾞｰﾙ整胃ﾌﾟﾚﾐｱﾑ錠,,,,対象外・処理しない
対象外,-,4987067233403,☆新ﾚｽﾀﾐﾝｺｰﾜ軟膏,,,,対象外・処理しない
対象外,-,4987028129134,☆ｽｶｲﾅｰAL錠,,,,対象外・処理しない
対象外,-,4987601236624,☆ｽﾃﾘｺｯﾄα 200包/箱,,,,対象外・処理しない
対象外,-,4987601216602,☆ｽﾃﾘｺｯﾄα 60包,,,,対象外・処理しない
対象外,-,4987110001638,☆正露丸,,,,対象外・処理しない
対象外,-,4987028114246,☆セルベール,,,,対象外・処理しない
対象外,-,4987028114192,☆ｾﾙﾍﾞｰﾙ整胃錠 12錠,,,,対象外・処理しない
対象外,-,4987910003030,☆ﾀｲﾚﾉｰﾙ 10錠入,,,,対象外・処理しない
対象外,-,4987910003047,☆ﾀｲﾚﾉｰﾙA 20回分,,,,対象外・処理しない
対象外,-,4987910002699,☆ﾀｲﾚﾉｰﾙA 20錠,,,,対象外・処理しない
対象外,-,4987128222117,☆ﾀﾘｵﾝAR 10錠,,,,対象外・処理しない
対象外,-,4987128309351,☆ﾀﾘｵﾝAR 30錠,,,,対象外・処理しない
対象外,-,4987107619501,☆ﾄﾗﾌﾙ軟膏PROｸｲｯｸ,,,,対象外・処理しない
対象外,-,4987028110583,☆ﾄﾗﾍﾞﾙﾐﾝR,,,,対象外・処理しない
対象外,-,4987443323506,☆ﾆｺﾁﾈﾙﾊﾟｯﾁ20 14枚,,,,対象外・処理しない
対象外,-,4987443323490,☆ﾆｺﾁﾈﾙﾊﾟｯﾁ20 7枚,,,,対象外・処理しない
対象外,-,4987123143219,☆ニコレット,,,,対象外・処理しない
対象外,-,4987123146098,☆ﾆｺﾚｯﾄ ｸｰﾙﾐﾝﾄ,,,,対象外・処理しない
対象外,-,4903301303572,☆ﾊﾞﾌｧﾘﾝﾌﾟﾚﾐｱﾑDX 20錠,,,,対象外・処理しない
対象外,-,4987084311764,☆ﾋｱﾚｲﾝS 5ｍL,,,,対象外・処理しない
対象外,-,4987072061879,☆ﾌｪﾐﾆｰﾅ膣ｶﾝｼﾞﾀﾞ錠,,,,対象外・処理しない
対象外,-,4987300041208,☆ブスコパンA錠,,,,対象外・処理しない
対象外,-,4987188188279,☆ﾌﾞﾃﾅﾛｯｸVaｸﾘｰﾑ,,,,対象外・処理しない
対象外,-,4987188188200,☆ﾌﾞﾃﾅﾛｯｸVαｽﾌﾟﾚｰ,,,,対象外・処理しない
対象外,-,4902720097420,☆まとめるこeasy 900g,,,,対象外・処理しない
対象外,-,4987904101391,☆ﾑｺﾀﾞｲﾝ去たん剤Pro500 10錠,,,,対象外・処理しない
対象外,-,4987904101407,☆ﾑｺﾀﾞｲﾝ去たん剤Pro500 20錠,,,,対象外・処理しない
対象外,-,4987426002480,☆ﾑﾋAZ錠 12錠,,,,対象外・処理しない
対象外,-,4987426002961,☆ﾑﾋS,,,,対象外・処理しない
対象外,-,4987426002138,☆ﾑﾋｱﾙﾌｧEX15g,,,,対象外・処理しない
対象外,-,4987241125326,☆ﾒﾝｿﾚｰﾀﾑ ﾒﾃﾞｨｸｲｯｸ ｸﾘｰﾑﾀｲﾌﾟ,,,,対象外・処理しない
対象外,-,4987241125319,☆ﾒﾝｿﾚｰﾀﾑ ﾒﾃﾞｨｸｲｯｸ 軟膏R,,,,対象外・処理しない
