product,kubun,package,days,judgment,limit,note
アネトンせき止め錠,〇,48錠,4.0,小容量,5,-
パブロンゴールドA〈錠〉,〇,130錠,14.4,大容量,7,"パブロンシリーズは基本はすべて対象、「パブロン50」のみ対象外
パブロンゴールドA〈錠〉：ﾎﾞﾄﾙ包装しか存在しない｡昔ながらの処方を守る、一番売れる大黒柱(Ace/Advanced予想)｡Aはﾊﾟﾌﾞﾛﾝにおける汎用の記号｡
        (1955年に「パブロンA・B」の2種発売。A：せきの出るかぜ用/B：熱の出るかぜ用。改良重ねられ「ゴールドA」となった現在でも「A」は「家族みんなで使える、せき・熱・鼻にバランスよく効く定番の常備薬」という記号)
        パブロンSゴールドW錠には30・42・60錠包装があり、すべてシート（PTP）包装。（「W」は、「2つの成分で、気道粘膜をダブルケア」）
        パブロンエースPro-X：大人専用。イブプロフェン600mgで「のどの痛み」に最強。
        パブロンS：5才（微粒は1才）から使えてノンカフェインのファミリー用。S：（Special / Superior）「優しさ・飲みやすさ」の進化系｡
　　パブロン鼻炎カプセルにはプソイドエフェドリン配合で、指定濫用対象？Saのこと？鼻炎速溶錠EXにも｡
　　持続性パブロン錠にはジヒドロｺﾃﾞｲﾝ・メチルエフェドリン配合。パブロンせき止めトリプル錠にはデキストロメトルファン配合
　★「パブロン」の大人向け（15才以上）の風邪薬・せき止め薬において、指定乱用成分非含有は「パブロン50」(麦門冬湯ﾍﾞｰｽ)｡"
パブロンゴールドA〈錠〉,〇,210錠,23.3,大容量,7,"パブロンシリーズは基本はすべて対象、「パブロン50」のみ対象外
パブロンゴールドA〈錠〉：ﾎﾞﾄﾙ包装しか存在しない｡昔ながらの処方を守る、一番売れる大黒柱(Ace/Advanced予想)｡Aはﾊﾟﾌﾞﾛﾝにおける汎用の記号｡
        (1955年に「パブロンA・B」の2種発売。A：せきの出るかぜ用/B：熱の出るかぜ用。改良重ねられ「ゴールドA」となった現在でも「A」は「家族みんなで使える、せき・熱・鼻にバランスよく効く定番の常備薬」という記号)
        パブロンSゴールドW錠には30・42・60錠包装があり、すべてシート（PTP）包装。（「W」は、「2つの成分で、気道粘膜をダブルケア」）
        パブロンエースPro-X：大人専用。イブプロフェン600mgで「のどの痛み」に最強。
        パブロンS：5才（微粒は1才）から使えてノンカフェインのファミリー用。S：（Special / Superior）「優しさ・飲みやすさ」の進化系｡
　　パブロン鼻炎カプセルにはプソイドエフェドリン配合で、指定濫用対象？Saのこと？鼻炎速溶錠EXにも｡
　　持続性パブロン錠にはジヒドロｺﾃﾞｲﾝ・メチルエフェドリン配合。パブロンせき止めトリプル錠にはデキストロメトルファン配合
　★「パブロン」の大人向け（15才以上）の風邪薬・せき止め薬において、指定乱用成分非含有は「パブロン50」(麦門冬湯ﾍﾞｰｽ)｡"
パイロンPL錠 ゴールド,〇,18錠,3.0,小容量,7,-
パイロンPL錠 ゴールド,〇,30錠,5.0,小容量,7,-
ベンザブロックIP,〇,18錠,3.0,小容量,7,"ベンザブロック命名規則：カプレット=6T/日、円形錠(名称最後に”錠”)=9T/日、全シリーズで統一(「無印」「プレミアムDX」共通)
        「L・IP・S」/「L・IP・S」錠/「L・IP・S・T」プレミアムDX/「L・IP・S・T」プレミアムDX錠
　　        「YASUMO/せき止め液1回量のみ切りタイプ/せき止め錠/トローチ」も指定濫用該当(ﾄﾛｰﾁは対象､のどｽﾌﾟﾚｰは対象外)"
ベンザブロックIP,〇,30錠,5.0,小容量,7,"ベンザブロック命名規則：カプレット=6T/日、円形錠(名称最後に”錠”)=9T/日、全シリーズで統一(「無印」「プレミアムDX」共通)
        「L・IP・S」/「L・IP・S」錠/「L・IP・S・T」プレミアムDX/「L・IP・S・T」プレミアムDX錠
　　        「YASUMO/せき止め液1回量のみ切りタイプ/せき止め錠/トローチ」も指定濫用該当(ﾄﾛｰﾁは対象､のどｽﾌﾟﾚｰは対象外)"
ベンザブロックIPプレミアム,〇,12錠,2.0,小容量,7,-
ベンザブロックIPプレミアム,〇,24錠,4.0,小容量,7,-
ベンザブロックIP錠,〇,30錠,3.3,小容量,7,-
ベンザブロックIP錠,〇,45錠,5.0,小容量,7,-
ベンザブロックL,〇,18錠,3.0,小容量,7,-
ベンザブロックL,〇,30錠,5.0,小容量,7,-
ベンザブロックLプレミアムDX,〇,12錠,2.0,小容量,7,-
ベンザブロックLプレミアムDX,〇,24錠,4.0,小容量,7,-
ベンザブロックSプレミアムDX,〇,12錠,2.0,小容量,7,-
ベンザブロックSプレミアムDX,〇,24錠,4.0,小容量,7,-
メジコンせき止め錠Pro,〇,20錠,3.3,小容量,5,(参考)メジコン「こどもせき止めシロップPro」は要指導リスト入り。「せき止め錠Pro」は、3年経過し第2類医薬品に移行済｡(指定濫用は対象)
メジコンせき止め錠Pro,〇,40錠,6.7,大容量,5,(参考)メジコン「こどもせき止めシロップPro」は要指導リスト入り。「せき止め錠Pro」は、3年経過し第2類医薬品に移行済｡(指定濫用は対象)
ロキソニン総合かぜ薬,〇,12錠,2.0,小容量,7,-
ロキソニン総合かぜ薬,〇,24錠,4.0,小容量,7,-
ロキソプロフェン錠「LS」,対象外,12錠,4.0,小容量,7,-
ロキソプロフェン錠「クニヒロ」,対象外,12錠,4.0,小容量,7,-
アレグラFX,＊対象外,14錠,7.0,小容量,7,"アレグラFX：Fexofenadineの頭文字「F」、（効き目Effectや、素早くFast届くという意味も）｡「X」は、「未知数、究極、進化」
        アレグラの授乳の件は典型例で、処方薬の添付文書には「治療上の有益性が危険性を上回ると判断される場合にのみ」という定型文が入っていますが、実臨床ではL1（最も安全）に分類されていてほぼ無条件で使える薬。ただし、OTCにおいては「添付文書の文言に忠実」であることが、単なる保守的姿勢ではなく、説明責任の観点から合理的な選択
        「アレグラFXプレミアム」：2025年秋発売、血管収縮剤のプソイドエフェドリン塩酸塩が追加配合(指定濫用対象)｡医療用のディレグラ配合錠と同様､ 閉塞隅角緑内障であれば禁忌"
アレグラFX,＊対象外,28錠,14.0,大容量,7,"アレグラFX：Fexofenadineの頭文字「F」、（効き目Effectや、素早くFast届くという意味も）｡「X」は、「未知数、究極、進化」
        アレグラの授乳の件は典型例で、処方薬の添付文書には「治療上の有益性が危険性を上回ると判断される場合にのみ」という定型文が入っていますが、実臨床ではL1（最も安全）に分類されていてほぼ無条件で使える薬。ただし、OTCにおいては「添付文書の文言に忠実」であることが、単なる保守的姿勢ではなく、説明責任の観点から合理的な選択
        「アレグラFXプレミアム」：2025年秋発売、血管収縮剤のプソイドエフェドリン塩酸塩が追加配合(指定濫用対象)｡医療用のディレグラ配合錠と同様､ 閉塞隅角緑内障であれば禁忌"
アレグラFX,＊対象外,56錠,28.0,大容量,7,"アレグラFX：Fexofenadineの頭文字「F」、（効き目Effectや、素早くFast届くという意味も）｡「X」は、「未知数、究極、進化」
        アレグラの授乳の件は典型例で、処方薬の添付文書には「治療上の有益性が危険性を上回ると判断される場合にのみ」という定型文が入っていますが、実臨床ではL1（最も安全）に分類されていてほぼ無条件で使える薬。ただし、OTCにおいては「添付文書の文言に忠実」であることが、単なる保守的姿勢ではなく、説明責任の観点から合理的な選択
        「アレグラFXプレミアム」：2025年秋発売、血管収縮剤のプソイドエフェドリン塩酸塩が追加配合(指定濫用対象)｡医療用のディレグラ配合錠と同様､ 閉塞隅角緑内障であれば禁忌"
エルペインコーワ,対象外,12錠,4.0,小容量,7,-
葛根湯エキス錠S「コタロー」,△,60錠,5.0,小容量,7,"葛根湯エキス錠S「コタロー」
        薬効分類が「漢方製剤」「生薬製剤」に該当する場合は、マオウ成分を含んでいても「対象外（漢方製剤）」
        葛根湯の承認書上の有効成分は「葛根湯エキス（マオウ、カッコン、タイソウ等の抽出エキス）」または「生薬粉末」であり、単一の化学成分である「エフェドリン」を有効成分とする製剤とは法規上みなされないため、「法規制の対象」とはされません。
        葛根湯(4)以外にも､小青竜湯(3)/防風通聖散(1.2､長期想定)/麻黄湯(5)/五虎湯･麻杏甘石湯(4)/麻黄附子細辛湯(4)も同様(ﾏｵｳg/日)"
